frame,labelimageId,trackId,lineageId,parentTrackId,mergerLabelId,Convexity_0,Number_of_Defects_0,Mean_Defect_Displacement_0,Mean_Defect_Area_0,Variance_of_Defect_Area_0,Convex_Hull_Center_0,Convex_Hull_Center_1,Object_Center_0,Object_Center_1,Object_Area_0,Kurtosis_of_Intensity_0,Maximum_intensity_0,Mean_Intensity_0,Minimum_intensity_0,Principal_components_of_the_object_0,Principal_components_of_the_object_1,Principal_components_of_the_object_2,Principal_components_of_the_object_3,Radii_of_the_object_0,Radii_of_the_object_1,Skewness_of_Intensity_0,Total_Intensity_0,Variance_of_Intensity_0,Average_Branch_Length_0,Number_of_Branches_0,Diameter_0,Euclidean_Diameter_0,Number_of_Holes_0,Center_of_the_Skeleton_0,Center_of_the_Skeleton_1,Terminal_1_0,Terminal_1_1,Terminal_2_0,Terminal_2_1,Length_of_the_Skeleton_0,Bounding_Box_Maximum_0,Bounding_Box_Maximum_1,Bounding_Box_Minimum_0,Bounding_Box_Minimum_1,Size_in_pixels_0,Center_of_the_object_0,Center_of_the_object_1
5,5,6,6,0,0,0.609601,4,15.645688,107.750000,10426.250000,2073.500000,746.500000,2074.254150,746.322449,673.000000,0.858759,53.000000,27.995543,7.000000,0.960132,0.279546,0.279546,-0.960132,12.003523,4.689097,0.010697,18841.000000,61.106964,8.218233,24,51.627419,46.572525,0,2073,745,2096.000000,751.000000,2051.000000,739.000000,197.237595,2096,758,2051,735,673.000000,2074,746
5,6,7,7,0,0,0.720779,4,11.158113,32.250000,286.250000,1999.000000,834.500000,1998.456421,835.153137,333.000000,-0.265273,23.000000,13.159159,4.000000,0.753030,0.657986,0.657986,-0.753030,5.527827,4.902156,-0.438536,4382.000000,14.121816,6.466498,18,25.556349,10.295630,0,1998,836,2008.000000,830.000000,1999.000000,825.000000,116.396973,2009,845,1989,824,333.000000,1998,835
5,7,8,8,0,0,0.688734,3,15.466238,89.333336,2144.333252,338.000000,970.000000,335.139954,969.698120,593.000000,-0.295830,50.000000,29.150084,7.000000,0.996015,0.089183,0.089183,-0.996015,10.555504,5.035972,0.012800,17286.000000,73.082031,7.629673,22,46.041630,36.221542,0,337,971,318.000000,960.000000,354.000000,964.000000,167.852814,358,980,318,960,593.000000,335,969
5,8,9,9,0,0,0.597222,4,21.591751,145.000000,20796.666016,753.500000,1151.500000,759.554626,1150.376709,860.000000,-0.869244,58.000000,34.454651,6.000000,0.998601,0.052880,0.052880,-0.998601,14.515776,5.177961,-0.208076,29631.000000,162.206085,8.217754,39,61.313709,45.891174,0,754,1150,769.000000,1140.000000,724.000000,1149.000000,320.492432,783,1163,724,1140,860.000000,759,1150
6,1,2,2,0,0,0.438416,3,20.289486,510.666656,176570.328125,1179.500000,57.500000,1175.317749,56.831940,1196.000000,-0.595322,61.000000,39.867058,6.000000,0.854341,0.519713,0.519713,-0.854341,17.393394,5.887348,-0.522512,47681.000000,155.048386,9.593129,39,75.083260,66.309875,0,1181,60,1210.000000,79.000000,1149.000000,53.000000,374.132050,1210,79,1149,36,1196.000000,1175,56
6,2,3,3,0,0,0.494092,4,17.621918,235.500000,75835.664062,415.500000,237.000000,415.166290,240.336960,920.000000,-0.927438,50.000000,27.923914,9.000000,0.623642,-0.781710,0.781710,0.623642,13.775878,5.552346,0.281906,25690.000000,88.955078,9.276381,30,59.840622,55.605755,0,412,237,433.000000,257.000000,399.000000,213.000000,278.291412,434,261,397,213,920.000000,415,240
6,3,4,4,0,0,0.492606,4,17.891298,248.750000,74020.914062,277.000000,415.000000,274.573486,416.185303,966.000000,-0.713520,51.000000,33.708073,14.000000,0.849458,-0.527657,-0.527657,-0.849458,14.608343,5.805345,-0.251291,32562.000000,61.399250,8.164056,32,65.840622,61.057350,0,278,414,251.000000,429.000000,303.000000,397.000000,261.249786,303,433,251,397,966.000000,274,416
6,4,5,5,0,0,0.425165,3,19.986526,522.333313,202340.328125,737.000000,509.500000,735.968079,504.960297,1159.000000,-0.815079,56.000000,34.456429,8.000000,-0.560161,-0.828384,0.828384,-0.560161,16.674118,6.216933,-0.042405,39935.000000,111.687271,8.898044,42,75.083260,67.208633,0,733,509,714.000000,538.000000,760.000000,489.000000,373.717834,760,538,714,481,1159.000000,735,504
6,5,6,6,0,0,0.551562,4,19.684334,215.250000,51850.917969,2075.500000,744.500000,2077.980225,743.955627,1059.000000,-0.300792,61.000000,33.728989,6.000000,0.939337,0.342995,0.342995,-0.939337,15.014791,5.876792,0.160109,35719.000000,131.655548,9.618941,32,67.698486,61.400326,0,2075,743,2105.000000,750.000000,2046.000000,733.000000,307.806122,2105,760,2046,729,1059.000000,2077,743
6,6,7,7,0,0,0.540476,5,12.464940,77.199997,8464.700195,1996.500000,833.500000,1997.916260,831.759888,454.000000,-0.377230,23.000000,13.834802,4.000000,-0.689636,-0.724156,0.724156,-0.689636,8.219919,5.362252,-0.360477,6281.000000,16.437468,10.384127,11,37.870056,19.416489,0,1996,834,1985.000000,848.000000,1989.000000,829.000000,114.225395,2010,848,1983,819,454.000000,1997,831
